"Region","Year","ndvi"
"Niamey",2009,0.266
"Agadez",2010,0.129
"Diffa",2010,0.311
"Dosso",2010,0.324
"Maradi",2010,0.306
"Tahoua",2010,0.29
"Tillabéri",2010,0.252
"Zinder",2010,0.299
"Niamey",2010,0.231
"Agadez",2011,0.129
"Diffa",2011,0.265
"Dosso",2011,0.315
"Maradi",2011,0.334
"Tahoua",2011,0.261
"Tillabéri",2011,0.235
"Zinder",2011,0.323
"Niamey",2011,0.212
"Agadez",2012,0.126
"Diffa",2012,0.275
"Dosso",2012,0.338
"Maradi",2012,0.337
"Tahoua",2012,0.303
"Tillabéri",2012,0.255
"Zinder",2012,0.335
"Niamey",2012,0.213
"Agadez",2013,0.128
"Diffa",2013,0.252
"Dosso",2013,0.359
"Maradi",2013,0.33
"Tahoua",2013,0.275
"Tillabéri",2013,0.268
"Zinder",2013,0.331
"Niamey",2013,0.234
"Agadez",2014,0.128
"Diffa",2014,0.292
"Dosso",2014,0.338
"Maradi",2014,0.311
"Tahoua",2014,0.294
"Tillabéri",2014,0.233
"Zinder",2014,0.301
"Niamey",2014,0.227
"Agadez",2015,0.128
"Diffa",2015,0.313
"Dosso",2015,0.346
"Maradi",2015,0.319
"Tahoua",2015,0.228
"Tillabéri",2015,0.272
"Zinder",2015,0.336
"Niamey",2015,0.237
"Agadez",2016,0.129
"Diffa",2016,0.316
"Dosso",2016,0.329
"Maradi",2016,0.333
"Tahoua",2016,0.265
"Tillabéri",2016,0.273
"Zinder",2016,0.325
"Niamey",2016,0.24
"Agadez",2017,0.13
"Diffa",2017,0.256
"Dosso",2017,0.377
"Maradi",2017,0.356
"Tahoua",2017,0.283
"Tillabéri",2017,0.311
"Zinder",2017,0.338
"Niamey",2017,0.262
"Agadez",2018,0.131
"Diffa",2018,0.327
"Dosso",2018,0.381
"Maradi",2018,0.367
"Tahoua",2018,0.287
"Tillabéri",2018,0.293
"Zinder",2018,0.343
"Niamey",2018,0.262
"Agadez",2019,0.171
"Diffa",2019,0.296
"Dosso",2019,0.392
"Maradi",2019,0.357
"Tahoua",2019,0.299
"Tillabéri",2019,0.277
"Zinder",2019,0.37
"Niamey",2019,0.289
