"Region","Year","NDVI"
"Tahoua",1997,0.265291998084615
"Tillabéri",1997,0.255502861976923
"Zinder",1997,0.276901745536364
"Niamey",1997,0.2467689441
"Agadez",1998,0.166420929833333
"Diffa",1998,0.302609279183333
"Dosso",1998,0.3668337811875
"Maradi",1998,0.325601756866667
"Tahoua",1998,0.2747944175
"Tillabéri",1998,0.274028611076923
"Zinder",1998,0.288398807281818
"Niamey",1998,0.2597646819
"Agadez",1999,0.164550206716667
"Diffa",1999,0.33549486585
"Dosso",1999,0.38962112215
"Maradi",1999,0.3743898021
"Tahoua",1999,0.334816365046154
"Tillabéri",1999,0.325954863915385
"Zinder",1999,0.324161733481818
"Niamey",1999,0.3021087813
"Agadez",2000,0.1674027534
"Diffa",2000,0.276260921666667
"Dosso",2000,0.3834793502
"Maradi",2000,0.370073099311111
"Tahoua",2000,0.302253548638462
"Tillabéri",2000,0.323835204523077
"Zinder",2000,0.322165483554545
"Niamey",2000,0.2929513386
"Agadez",NA,0.20265
"Diffa",NA,0.203633333333333
"Dosso",NA,0.203125
"Maradi",NA,0.203388888888889
"Tahoua",NA,0.203976923076923
"Tillabéri",NA,0.203407692307692
"Zinder",NA,0.204254545454545
"Niamey",NA,0.2052
"Agadez",2001,0.143883570133333
"Diffa",2001,0.27178046955
"Dosso",2001,0.3803646692625
"Maradi",2001,0.325593169844444
"Tahoua",2001,0.289357128846154
"Tillabéri",2001,0.304036635776923
"Zinder",2001,0.291243263
"Niamey",2001,0.2896159777
"Agadez",2002,0.138924644516667
"Diffa",2002,0.2955076595
"Dosso",2002,0.377802266675
"Maradi",2002,0.3381482879
"Tahoua",2002,0.256655557030769
"Tillabéri",2002,0.266431235192308
"Zinder",2002,0.289205157445455
"Niamey",2002,0.272964275
"Agadez",2003,0.303168229933333
"Diffa",2003,0.31492315345
"Dosso",2003,0.366867287075
"Maradi",2003,0.329167644233333
"Tahoua",2003,0.281827887938462
"Tillabéri",2003,0.286868041538462
"Zinder",2003,0.3246879409
"Niamey",2003,0.2758925252
"Agadez",2004,0.35528421015
"Diffa",2004,0.376670904233333
"Dosso",2004,0.3813845903875
"Maradi",2004,0.492513394577778
"Tahoua",2004,0.396553630807692
"Tillabéri",2004,0.349847181323077
"Zinder",2004,0.390531770227273
"Niamey",2004,0.3898199053
"Agadez",2005,0.155592022033333
"Diffa",2005,0.298741600116667
"Dosso",2005,0.407680243
"Maradi",2005,0.384918799411111
"Tahoua",2005,0.293393876769231
"Tillabéri",2005,0.294283723715385
"Zinder",2005,0.306296552090909
"Niamey",2005,0.2881555365
"Agadez",2006,0.14009377835
"Diffa",2006,0.27744033345
"Dosso",2006,0.3906718246375
"Maradi",2006,0.331280608522222
"Tahoua",2006,0.287263124938462
"Tillabéri",2006,0.286924674646154
"Zinder",2006,0.285966876990909
"Niamey",2006,0.267751103
"Agadez",2007,0.143511777666667
"Diffa",2007,0.333897196316667
"Dosso",2007,0.380727030475
"Maradi",2007,0.330921223177778
"Tahoua",2007,0.320320038423077
"Tillabéri",2007,0.300002350969231
"Zinder",2007,0.298645238681818
"Niamey",2007,0.2522960591
"Agadez",2008,0.140581008716667
"Diffa",2008,0.275260228
"Dosso",2008,0.37808903185
"Maradi",2008,0.312684886888889
"Tahoua",2008,0.277875756776923
"Tillabéri",2008,0.281540580684615
"Zinder",2008,0.284192602809091
"Niamey",2008,0.2691824159
"Agadez",2009,0.139250611283333
"Diffa",2009,0.26320957245
"Dosso",2009,0.370233971825
"Maradi",2009,0.304349852055556
"Tahoua",2009,0.250495959876923
"Tillabéri",2009,0.265720338969231
"Zinder",2009,0.257387224718182
"Niamey",2009,0.2579716642
"Agadez",2010,0.137710159816667
"Diffa",2010,0.313822305683333
"Dosso",2010,0.347277424375
"Maradi",2010,0.317446057466667
"Tahoua",2010,0.277760686107692
"Tillabéri",2010,0.257181813784615
"Zinder",2010,0.289874783627273
"Niamey",2010,0.2293367745
"Agadez",2011,0.130694110216667
"Diffa",2011,0.31480227195
"Dosso",2011,0.3451550379375
"Maradi",2011,0.337887500933333
"Tahoua",2011,0.267749127569231
"Tillabéri",2011,0.254657116584615
"Zinder",2011,0.292082818290909
"Niamey",2011,0.2064782609
"Agadez",2012,0.131451503116667
"Diffa",2012,0.2929563299
"Dosso",2012,0.363012565325
"Maradi",2012,0.354191497066667
"Tahoua",2012,0.294294818123077
"Tillabéri",2012,0.258046648669231
"Zinder",2012,0.320746880045455
"Niamey",2012,0.2160857785
"Agadez",2013,0.131290297233333
"Diffa",2013,0.294442959366667
"Dosso",2013,0.360532023175
"Maradi",2013,0.338623474344444
"Tahoua",2013,0.268041571646154
"Tillabéri",2013,0.275379011546154
"Zinder",2013,0.311200476245455
"Niamey",2013,0.2289197259
"Agadez",2014,0.132709418916667
"Diffa",2014,0.308958065666667
"Dosso",2014,0.3441141162625
"Maradi",2014,0.326653918233333
"Tahoua",2014,0.281716317838462
"Tillabéri",2014,0.257175007453846
"Zinder",2014,0.296864699763636
"Niamey",2014,0.2265415292
"Agadez",2015,0.129338339533333
"Diffa",2015,0.320430380633333
"Dosso",2015,0.350174142
"Maradi",2015,0.3266493817
"Tahoua",2015,0.263679550223077
"Tillabéri",2015,0.274507925846154
"Zinder",2015,0.307153397045455
"Niamey",2015,0.2353487042
"Agadez",2016,0.130830285633333
"Diffa",2016,0.318652904616667
"Dosso",2016,0.3421278432625
"Maradi",2016,0.320490150766667
"Tahoua",2016,0.254758436438462
"Tillabéri",2016,0.269762111607692
"Zinder",2016,0.299990298254545
"Niamey",2016,0.2387434997
"Agadez",2017,0.130906579783333
"Diffa",2017,0.2553633779
"Dosso",2017,0.3764590465625
"Maradi",2017,0.356164515222222
"Tahoua",2017,0.277938765146154
"Tillabéri",2017,0.2955153897
"Zinder",2017,0.316441596245455
"Niamey",2017,0.2520644035
"Agadez",2018,0.135865888266667
"Diffa",2018,0.3368529215
"Dosso",2018,0.3802763425
"Maradi",2018,0.3616508546
"Tahoua",2018,0.301269202292308
"Tillabéri",2018,0.303130561884615
"Zinder",2018,0.3306879772
"Niamey",2018,0.2491444635
"Agadez",2019,0.163727021866667
"Diffa",2019,0.327325377
"Dosso",2019,0.4113901401125
"Maradi",2019,0.377830042488889
"Tahoua",2019,0.337433653776923
"Tillabéri",2019,0.297738175346154
"Zinder",2019,0.355910387845455
"Niamey",2019,0.2877694367
